"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","FDR_adjusted_P.value","Power","BCOV"
"ENSMUSG00000041840","Haus1",-0.489,2.67,0.266915724234169,0.503882884875572,0.178,0.331
"ENSMUSG00000027331","Knstrn",-0.355,3.611,0.26694044179229,0.503882884875572,0.179,0.241
"ENSMUSG00000022469","Rapgef3",-0.778,0.612,0.266977874922426,0.503897255717541,0.141,0.525
"ENSMUSG00000048076","Arf1",0.192,8.467,0.267035631677982,0.5039499781209,0.326,0.129
"ENSMUSG00000055305","Zfp93",-0.965,0.369,0.267112763616778,0.50403924953616,0.16,0.652
"ENSMUSG00000032180","Tmed1",0.84,2.119,0.267172840556683,0.504049971610211,0.253,0.526
"ENSMUSG00000026500","Cox20",-0.478,2.499,0.267178103663905,0.504049971610211,0.165,0.325
"ENSMUSG00000086322","E130218I03Rik",1.451,0.468,0.267268610632304,0.504108157435503,0.264,0.842
"ENSMUSG00000026028","Trak2",0.22,5.374,0.267262614339274,0.504108157435503,0.204,0.146
"ENSMUSG00000092416","Zfp141",-0.429,3.181,0.267435204375509,0.504366080751937,0.185,0.292
"ENSMUSG00000085042","Abhd11os",4.204,-3.374,0.267494959580513,0.504366193594233,0.276,1.003
"ENSMUSG00000094439","Iffo2",4.346,-3.311,0.267468191474259,0.504366193594233,0.294,1.157
"ENSMUSG00000021612","Slc6a18",0.999,-0.256,0.26767036129634,0.504640607518191,0.142,0.571
"ENSMUSG00000050855","Zfp940",-0.811,0.118,0.267778070318394,0.504787352994223,0.125,0.528
"ENSMUSG00000040112","Mrps35",-0.325,3.856,0.26799235738728,0.505134953165672,0.178,0.221
"ENSMUSG00000006221","Hspb7",1.601,-1.77,0.26807023874365,0.50522539530339,0.137,0.831
"ENSMUSG00000084826","AI847159",2.413,-2.652,0.268122744722366,0.505267998251203,0.164,0.994
"ENSMUSG00000041567","Serpina12",2.956,-2.851,0.268166011916849,0.505293183471334,0.198,1.133
"ENSMUSG00000029344","Tpst2",-0.211,5.402,0.268313978399336,0.505515621250081,0.195,0.144
"ENSMUSG00000074881","Mageb3",2.31,-2.666,0.268376252688396,0.505541751515752,0.154,0.939
"ENSMUSG00000031803","B3gnt3",0.36,3.717,0.268405891080514,0.505541751515752,0.192,0.236
"ENSMUSG00000022559","Fbxl6",-0.235,4.948,0.268417599396339,0.505541751515752,0.187,0.16
"ENSMUSG00000021619","Atg10",0.459,3.235,0.268453039250231,0.50555215170516,0.206,0.298
"ENSMUSG00000047759","Hs3st3a1",1.327,-0.237,0.268752612166515,0.506024473517172,0.194,0.762
"ENSMUSG00000041459","Tardbp",-0.189,6.964,0.268763738301374,0.506024473517172,0.258,0.13
"ENSMUSG00000046541","Zfp526",-0.51,2.302,0.269014830417145,0.50644079817167,0.164,0.348
"ENSMUSG00000051373","Plpp7",0.972,-0.14,0.269182295613225,0.506699613598338,0.142,0.577
"ENSMUSG00000045441","Gprin3",-0.988,-0.423,0.269380023869693,0.506958864389138,0.126,0.651
"ENSMUSG00000038605","Samd10",-0.531,2.224,0.26935833804619,0.506958864389138,0.166,0.363
"ENSMUSG00000091625","Lsm5",-0.404,3.167,0.269426300431463,0.506989490500096,0.174,0.277
"ENSMUSG00000031479","Vps36",0.255,5.187,0.269647747161359,0.507349697309057,0.217,0.17
"ENSMUSG00000029334","Prkg2",0.998,0.273,0.269736476087672,0.507460139493373,0.169,0.604
"ENSMUSG00000038756","Ttll6",-1.794,-1.563,0.269803081464045,0.50749646321933,0.157,1.137
"ENSMUSG00000060538","Tmem219",-0.207,5.388,0.269815849542103,0.50749646321933,0.19,0.142
